(5, 1);(1, 13);0
(7, 7);(8, 1);0
(2, 5);(7, 8);0
(7, 10);(7, 11);0
(1, 11);(9, 13);0
(10, 13);(4, 8);0
(8, 5);(1, 7);0
(8, 9);(4, 12);0
(4, 11);(4, 3);11
(10, 11);(3, 9);12
(9, 9);(8, 13);16
(10, 8);(4, 2);18
(10, 3);(7, 12);22
(1, 13);(1, 11);23
(9, 5);(1, 3);23
(10, 4);(7, 8);25
(10, 7);(9, 9);25
(5, 13);(9, 1);27
(6, 9);(7, 2);28
(4, 12);(1, 13);31
(5, 1);(4, 8);34
(7, 6);(10, 10);44
(10, 8);(10, 12);47
(4, 2);(6, 13);48
(10, 7);(9, 13);51
(1, 8);(10, 13);51
(3, 1);(4, 11);51
(9, 9);(2, 1);53
(1, 11);(4, 8);53
(4, 7);(10, 6);61
(1, 7);(7, 8);66
(2, 13);(1, 1);72
(7, 12);(7, 3);73
(1, 6);(7, 2);73
(2, 5);(3, 5);73
(8, 9);(8, 1);76
(10, 2);(10, 1);78
(9, 13);(1, 2);82
(10, 12);(4, 10);87
(9, 9);(1, 10);89
(4, 11);(8, 13);89
(5, 5);(1, 7);90
(2, 9);(3, 5);90
(8, 1);(7, 6);93
(2, 1);(10, 6);100
(10, 3);(3, 1);102
(8, 9);(4, 8);102
(2, 13);(1, 1);112
(1, 3);(10, 8);112
(1, 10);(5, 9);112
(1, 11);(10, 4);116
(4, 4);(10, 10);117
(7, 10);(9, 5);121
(8, 9);(1, 10);122
(10, 3);(4, 6);123
(6, 1);(8, 13);126
(7, 4);(8, 1);134
(3, 1);(5, 13);135
(7, 2);(6, 9);138
(1, 7);(7, 11);142
(10, 2);(2, 13);146
(1, 2);(4, 8);151
(9, 1);(4, 11);152
(4, 2);(10, 13);153
(7, 4);(1, 10);154
(9, 9);(8, 9);161
(10, 1);(7, 6);164
(7, 2);(6, 1);169
(4, 12);(4, 3);172
(8, 1);(8, 5);173
(6, 5);(3, 9);178
(7, 10);(4, 4);180
(10, 3);(4, 8);183
(1, 7);(2, 9);186
(5, 5);(7, 2);189
(10, 8);(1, 1);190
(7, 8);(6, 9);190
(7, 12);(10, 1);193
(10, 12);(2, 13);195
(10, 11);(1, 11);200
(1, 4);(5, 9);200
(4, 6);(9, 1);202
(1, 3);(10, 7);203
(4, 2);(9, 9);211
(1, 6);(1, 8);211
(8, 1);(5, 13);218
(8, 5);(7, 10);218
(10, 2);(10, 8);218
(7, 2);(1, 6);223
(2, 5);(10, 11);223
(5, 1);(1, 7);225
(8, 9);(1, 2);225
(4, 4);(1, 13);226
(4, 12);(2, 9);235
(9, 5);(2, 13);239
(4, 3);(1, 8);242
(4, 7);(9, 9);244
(10, 8);(10, 2);246
(8, 5);(1, 11);247
(4, 10);(3, 13);250
(7, 6);(2, 1);254
(4, 6);(7, 12);256
(1, 3);(2, 9);257
(3, 9);(4, 8);260
(1, 6);(2, 5);260
(5, 9);(1, 4);263
(10, 8);(7, 4);265
(1, 12);(4, 11);269
(8, 13);(8, 9);271
(4, 4);(6, 9);274
(3, 13);(10, 1);274
(7, 10);(10, 3);275
(1, 1);(5, 5);276
(6, 1);(4, 12);284
(4, 8);(2, 5);284
(2, 13);(7, 2);286
(1, 7);(8, 1);287
(5, 9);(1, 6);288
(3, 1);(8, 5);290
(10, 12);(1, 3);293
(8, 13);(1, 10);301
(10, 7);(10, 2);303
(2, 9);(4, 10);304
(10, 11);(6, 5);305
(4, 7);(7, 7);306
(1, 2);(10, 3);310
(1, 6);(10, 10);317
(4, 3);(1, 7);318
(7, 2);(7, 8);324
(2, 9);(4, 12);324
(5, 1);(5, 13);326
(5, 5);(4, 7);327
(9, 9);(10, 1);330
(10, 4);(7, 4);332
(4, 2);(10, 3);334
(6, 5);(1, 2);340
(7, 7);(9, 5);341
(8, 9);(4, 8);344
(7, 6);(1, 8);345
